课程平台,环节,课程类别,课程子类1,课程子类2,
通识教学平台,课程环节,通识基础必修,,,
通识教学平台,课程环节,通识分层必修,,,
通识教学平台,课程环节,通识选修,通识教育核心课程,,
通识教学平台,课程环节,通识选修,通识教育板块课程,社会认知与国际视野,
通识教学平台,课程环节,通识选修,通识教育板块课程,科学精神与技术进步,
通识教学平台,课程环节,通识选修,通识教育板块课程,人文素养与审美艺术,
通识教学平台,课程环节,通识选修,通识教育板块课程,管理智慧与创新创业,
通识教学平台,课程环节,通识选修,技能提升课程,技能提升板块,
通识教学平台,实践环节,第二课堂,,,
学科教学平台,课程环节,学科必修,,,
专业教学平台,课程环节,专业必修,,,
专业教学平台,课程环节,专业选修,,,
专业教学平台,实践环节,专业必修,,,
专业教学平台,实践环节,短学期,,,
个性化教学平台,课程环节,个性化选修,学术拔尖类个性化选修,,
个性化教学平台,课程环节,个性化选修,跨学科复合类个性化选修,,
个性化教学平台,实践环节,第二课堂,,,
个性化教学平台,实践环节,第三课堂,,,