课程编号,课程名称,教材名称,出版社,作者,版本,书号,
INF1369,计算机科学导论,计算机科学导论（第7版）（微课版）,清华大学出版社,瞿中、高新波、熊安萍,第七版,9787302636779,
INF1375,软件项目与实践-Web前端,Web前端开发技术——HTML5、CSS3、JavaScript（第4版）,清华大学出版社,储久良,第四版,9787302615446,
INF1025,面向对象程序设计,Java面向对象程序设计,清华大学出版社,邢国波、杨朝晖、郭庆、徐遵义,第一版,9787302528982,
INF1445,大数据数学基础,大数据数学基础（Python语言描述）,人民邮电出版社,雷俊丽、张良均,,9787115499219,@,
INF1214,算法设计与分析,算法设计与分析（第三版）,清华大学出版社,屈婉玲,第三版,9787302612391,@,#
INF1224,软件建模与分析,需求工程:软件建模与分析,高等教育出版社,骆斌,第二版,9787040417142,@,#
INF1387,软件项目实践-JavaEE开发实践,Java Web技术及应用,清华大学出版社,QST青软实训,,9787302408710,
INF1289,软件项目管理,《软件项目管理》微课视频版,清华大学出版社,李英龙、郑河荣,第一版,9787302557425,#
INF1378,软件设计与体系结构,软件设计与体系结构,高等教育出版社,董威、文艳军,第二版,9787040486308,@,#
INF1226,软件质量保证与测试,软件质量保证与测试-原理、技术与实践,清华大学出版社,董昕,第一版,9787302586609,#
INF1389,软件项目实践-全栈开发实践,Python Web 开发从入门到实战,清华大学出版社,钱彬,2020,9787302553250,
INF1378,桌面应用开发,Qt 6.2/C++程序设计与桌面应用开发（微课视频版）,清华大学出版社,马石安、魏文平,,9787302639893,@,
INF1417,计算机建模,计算机建模与仿真技术,北京理工大学出版社,徐宝云、王文瑞,,9787564024307,@,#
INF1137,数据可视化,数据可视化,电子工业出版社,陈为,第2版,9787121357275,#
INF1350,Python高级程序设计,简明Python教程,浙江大学出版社,石向荣,第二版,9787308201681,
INF1028,人工智能导论,人工智能导论（第5版）,高等教育出版社,王万良,第五版,9787040551532,#
INF1380,数据挖掘,机器学习,清华大学出版社,周志华,第1版,9787302423287,#
INF1365,人工智能实践-机器人创新与实践,机器人学：基础理论与应用实践,哈尔滨工业大学出版社,徐文福,,@,#
INF1382,移动应用开发,Android应用开发教程,清华大学出版社,张冬玲、杨宁,第1版,9787302306832,#
INF1431,深度学习（双语）,深度学习入门:基于Python的理论与实现,人民邮电出版社,斋藤康毅,,9787115485588,#
INF1303,大数据开发技术,大数据技术与应用（微课视频版）,清华大学出版社,肖政宏、李俊杰、谢志明,,9787302538431,
INF1120,管理运筹学,管理运筹学,韩伯棠,高等教育出版社,第五版,9787040527230,#
INF1305,自然语言处理,自然语言处理,冯建周,中国水利水电出版社,,9787522605272,
INF1306,计算机视觉,计算机视觉,余海林,清华大学出版社,,9787302567431,
ECO1142,经济学原理,经济学原理:第8版,北京大学出版社,N.格里高利·曼昆,第八版,9787301312988,#
FIN1138,金融学原理,金融学（第4版）,人民出版社,卞志村,第四版,9787010260006,
FIN1022,金融工程,金融工程（第六版）,高等教育出版社,郑振龙、陈蓉,第六版,9787040627862,
INF1381,互联网金融与区块链,互联网金融,帅青红,东北财经大学出版社,第二版,9787565438004,#
INF1370,量化金融分析,经济金融数据分析及其Python应用,朱顺泉,清华大学出版社,,9787302497431,#
INF1390,人工智能实践-数字经济应用实践,人工智能与数字经济,科学出版社,陈晓红,,9787030803054,